"Categorie";"Prospect reel";"Pourquoi le contacter";"Contact public";"Source";"Priorite";"Categorie back-office";"Message d approche"
"Institution publique";"Ville de Saint-Etienne - accueil mairie";"Porte d entree municipale pour orienter vers habitat, commerce, biens communaux, associations";"04 77 48 77 48";"https://www.saint-etienne.fr/dialoguer-avec-ma-mairie";"Haute";"collectivite-territoire";"Demander le bon interlocuteur pour presenter TVF et le pilote Saint-Etienne"
"Habitat";"Ville de Saint-Etienne - Habitat";"Lien avec amelioration de l habitat, renovation, habitat indigne, logement social";"Via site / accueil mairie";"https://www.saint-etienne.fr/habitat";"Haute";"collectivite-territoire";"Presenter Habitat Vivant et proposer un rendez-vous technique"
"Commerce";"Ville de Saint-Etienne - Commerce et artisanat";"Lien direct avec commerces, rez-de-chaussee vacants, implantation commerciale";"Via site / accueil mairie";"https://www.saint-etienne.fr/commerce-et-artisanat";"Haute";"collectivite-territoire";"Presenter Commerce Vivant et les besoins de signalement des locaux vacants"
"Economie emploi";"Ville de Saint-Etienne - Economie et emploi";"Relais entreprises, emploi, insertion, accompagnement economique";"Via site / accueil mairie";"https://www.saint-etienne.fr/economie-et-emploi";"Moyenne";"benevolat-insertion";"Demander orientation vers entreprises, insertion, ESS"
"Intercommunalite";"Saint-Etienne Metropole - contact general";"Porte d entree metropolitaine pour habitat, dechets, developpement economique, PLIE";"Formulaire contact + annuaire services";"https://www.saint-etienne-metropole.fr/contacter-saint-etienne-metropole";"Haute";"collectivite-territoire";"Demander rendez-vous de cadrage territorial"
"Habitat metropolitain";"Saint-Etienne Metropole - amelioration de l habitat";"Alignement avec aides renovation, logement, habitat ancien";"Via formulaire SEM";"https://www.saint-etienne-metropole.fr/habiter-se-deplacer/amelioration-de-lhabitat";"Haute";"collectivite-territoire";"Presenter Habitat Vivant et biens vacants a qualifier"
"Developpement economique";"Saint-Etienne Metropole - developpement economique";"Contact entreprises, foncier economique, commerces, locaux";"04 77 49 74 22";"https://www.saint-etienne-metropole.fr/contacter-saint-etienne-metropole";"Haute";"entreprise-partenariat";"Proposer un echange sur entreprises, locaux, materiaux, stockage"
"Dechets reemploi";"Saint-Etienne Metropole - gestion des dechets / decheteries";"Lien avec reduction dechets, reemploi, flux materiaux";"0 800 882 735";"https://www.saint-etienne-metropole.fr/contacter-saint-etienne-metropole";"Haute";"materiaux-reemploi";"Demander orientation sur reemploi, materiaux et filieres"
"Insertion";"PLIE de Saint-Etienne";"Lien direct emploi, insertion, chantiers, publics accompagnables";"04 77 01 35 00";"https://www.saint-etienne-metropole.fr/contacter-saint-etienne-metropole";"Haute";"benevolat-insertion";"Presenter Solidarite & Insertion et demander un premier echange"
"Insertion Gier";"PLIE du Gier";"Relais insertion sur bassin voisin, utile pour extension metropolitaine";"04 77 83 07 66";"https://www.saint-etienne-metropole.fr/contacter-saint-etienne-metropole";"Moyenne";"benevolat-insertion";"Identifier structures et chantiers compatibles"
"Foncier friches";"EPORA - direction territoriale Loire Saint-Etienne";"Foncier, friches, reconversion, portage et cooperation avec collectivites";"04 77 47 47 50";"https://www.epora.fr/";"Haute";"collectivite-territoire";"Presenter TVF comme complement citoyen/ressources, pas comme remplacement"
"Departement";"Departement de la Loire";"Insertion, habitat, environnement, aides, collectivites, subventions";"04 77 48 42 42 / info@loire.fr";"https://www.loire.fr/";"Moyenne";"financement-mecenat";"Demander orientation vers habitat, insertion, environnement, appels a projets"
"Entreprises";"CCI Lyon Metropole Saint-Etienne Roanne";"Relais entreprises, commerce, developpement durable, financement, reseaux";"Via site CCI";"https://www.lyon-metropole.cci.fr/";"Haute";"entreprise-partenariat";"Demander orientation vers entreprises BTP, commerce, RSE, materiaux"
"Artisanat";"CMA Auvergne-Rhone-Alpes - delegation Loire a identifier";"Relais artisans, batiment, renovation, savoir-faire, apprentissage";"Via site CMA";"https://www.cma-auvergnerhonealpes.fr/";"Moyenne";"entreprise-partenariat";"Demander relais artisans et entreprises susceptibles de contribuer"
"ESS";"Saint-Etienne Metropole - economie sociale et solidaire";"Relais ESS, associations, cooperations, projets territoriaux";"Via formulaire SEM";"https://www.saint-etienne-metropole.fr/etudier-entreprendre/entreprises/economie-sociale-et-solidaire";"Haute";"benevolat-insertion";"Proposer rencontre ESS et identification structures insertion/reemploi"
"Entreprises";"Saint-Etienne Metropole - entreprises";"Accompagnement economique, innovation, ESS, developpement durable";"Via formulaire SEM";"https://www.saint-etienne-metropole.fr/etudier-entreprendre/entreprises";"Moyenne";"entreprise-partenariat";"Demander relais vers entreprises partenaires potentielles"
"Associations";"Ville de Saint-Etienne - vie associative locale";"Identifier associations locales, besoins en locaux, materiel, benevolat";"Via site / accueil mairie";"https://www.saint-etienne.fr/dialoguer-avec-ma-mairie";"Moyenne";"benevolat-insertion";"Demander orientation vers service associations et reseaux locaux"
